keep	question_id	topic_sim	orig_type	question	src_gold(참고: 이 답이 지문에 없어야 함)	context_head	검수사유
X	natua_numeric_reasoning_numeric-aad384de-3a99-410b-8630-f18c3f1b66f2	0.0526	numeric_reasoning	SK텔레콤과 태광산업 중 SK브로드밴드와 티브로드의 합병법인 지분율이 더 많은 기업은 어디인가?	SK텔레콤	일본의 수출 규제로 한일 갈등이 불거진 이후 기업의 체감 경기와 다음 달 전망이 동반 하락한 것으로 나타났습니다. 한국은행은 이번 달 전체 산업의 기업경기실사지수, BSI가 한 달 전보다 1포인트 하락한 73으로 집계됐다고 밝혔습니다. BSI는 기업 체감 경기 지표로 기준치인 100보다 낮으면 부정적 인식이 많다는 의미입니다. 제조업과 비제조업 모두 한 달	분야 상이
O	natua_text_span_finance-7016569	0.0526	text_span	지방산림청의 운전직렬 직원은 산림청과 그 소속기관 직제 시행규칙이 바뀌면 어떤 직군으로 옮겨가게 돼	행정·임업직렬	과학기술정보통신부와 그 소속기관 직제 일부개정령(안) 입법예고 1. 개정이유 및 주요내용 과학기술정보통신부에 연구실 안전관리 강화를 위하여 필요한 인력 2명(6급 1명, 7급 1명)을 증원하고, 인공지능 학습용 데이터 구축사업 등 추진을 위하여 필요한 인력 2명(5급 1명, 6급 1명)을 한시적으로 증원하며, 정보통신 및 정보통신융합 신기술·서비스에 대한 	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
X	natua_numeric_reasoning_numeric-c189d1cf-bbaa-45a6-bf48-fe5ed5098a4a	0.0524	numeric_reasoning	뉴골든브릿지 7호가 보유한 100인승 구명벌의 척수는 60인승 구명정의 척수 대비 몇 % 더 많은가?	100%	압타바이오가 상장 첫날 약세다. 12일 코스닥 시장에 상장한 압타바이오는 시초가를 5만200원에 형성하고 오전 9시8분 현재 이보다 6000원(11.95%) 떨어진 4만4200원에 거래되고 있다. 공모가(3만원)는 웃돈다. 압타바이오는 난치성 항암치료제 2종과 당뇨합병증 치료제 5종 등 7개의 신약 파이프라인을 보유한 바이오 기업이다.	분야 상이
X	natua_numeric_reasoning_numeric-332cebf7-0a7b-40e5-af8a-7cd9e772af3a	0.0522	numeric_reasoning	지난 28일 김진선 메가박스 중앙 대표이사와 허인 KB국민은행장 등이 테이프 커팅식을 진행한 행사는 무엇인가?	서초동종합금융센터 리뉴얼 오픈식	이재현 CJ그룹 회장이 지난해 그룹의 대표 기업인 CJ제일제당에서 28억여원의 보수를 받은 것으로 나타났다. CJ제일제당은 18일 사업보고서를 통해 이 회장이 지난해 26억9200만원의 급여와 1억800만원의 상여를 받았다고 공시했다. CJ제일제당은 "이사회 승인을 받은 임원 규칙에 따라 역할 책임의 크기, 회사 기여도 등을 종합적으로 고려했다"고 설명했다	분야 상이
O	natua_numeric_reasoning_numeric-77d4b382-3607-4aa5-ad3b-ad65ce900966	0.0519	numeric_reasoning	15일 '근로시간 단축에 따른 경제적 영향' 보고서를 발표한 기관이 어디인가?	한국경제연구원한국경제연구원	취업자 수가 23개월 연속으로 감소하는 등 대구 고용지표 악화에 끝이 보이지 않고 있다. 1월에 비해 지난달 사정이 나아져 회복세가 시작됐다는 의견도 있지만, 노인 일자리를 위시한 '공공 일자리' 영향이 크다는 분석이 나온다. 17일 동북지방통계청이 발표한 2월 고용동향에 따르면 지난달 대구 고용률은 56.5%로 전년 동월보다 0.3%p 하락했다. 취업자 	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
X	natua_yes_no_finance-7765751	0.0519	yes_no	2010년의 여성 고용률과 출산율은 경기도에서 다른 지역보다 낮은 수치를 보였니	Yes	□ 제정 배경과 경과 ◦ 싱가포르에서는 기존의 택시 위주 규제 체계로는 승차공유의 등장과 스마트폰을 활용한 예약 서비스 도입 등 지점 간 여객운송(택시+승차공유)의 변화에 대응하기 어렵다는 점이 지적되면서 「지점 간 여객운송사업법 2019」를 제정하고 새로운 규제 프레임워크를 도입함 ◦ 해당 법률은 2019년 8월 싱가포르 국회를 통과하여 2020년 시행을	분야 상이
X	natua_yes_no_finance-7212477	0.0519	yes_no	모든 근로자들이 육아휴직을 사용할 권리를 가지고 있을까	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이
X	natua_numeric_reasoning_numeric-2024241d-c49f-4738-94c1-2b6296907ad0	0.0518	numeric_reasoning	사업자 등록 이후 자본금 15억 원을 유지하지 못하면 등록을 취소하는 방안이 추진되는 업체는 무엇인가?	선불식 할부거래업체	3차 추경 예산안은 유급휴업·휴직수당을 평시의 90%까지 지원하는 기간을 기존 6개월에서 9개월까지 3개월 연장하기로 하고 여기에 5000억 원을 추가 투입했다. 코로나 19사태가 지속되는데 대한 추가 예산 투입 성격이다. 청년층의 주거·금융·일자리·교육 등 애로 해결을 위한 종합패키지 지원 예산도 4000억 원 증액했다. 청년 예산 중 가장 많이 증액된 	분야 상이
X	natua_numeric_reasoning_numeric-f36a4574-d461-41b2-b106-84e1761fec29	0.0518	numeric_reasoning	환매중단 상태인 사모펀드 중 미상환 상태 수량은 전문 사모운용사들이 금융감독원에 제출한 '환매연기 특정사유 발생보고서' 대상인 총 사모펀드 대비 몇 %인가?	92.62%	단위 : 백만원, % “믿을 건 주력 품목뿐이다.” 주요 상위 제약사들이 코로나19 사태에도 '주력 품목'을 앞세워 1분기 실적을 선방하는 데 성공했다. 4일 금융감독원에 따르면, GC녹십자(006280)는 연결재무제표 기준 올해 1분기 영업이익이 61억원을 기록했다. 전년 같은 기간보다 283.9% 증가한 수준이다. 주력 품목인 수두백신과 독감백신 수출이	분야 상이
X	natua_text_span_finance-6492862	0.0517	text_span	팬데믹 이후 무엇으로 인해 경제활동참가율이 여전히 낮고 구직 유인이 떨어지게 됐어	추가 실업급여의 연장 지급	(2) 개발대상도서의 지원 범위 확대 지속가능한 도서지역의 관리를 위해 개발대상도서의 범위를 확대하는 방안이다. 현행 「도서개발 촉진법」과 동 법 시행령에 따라 도서가 육지와 연결되어 10년이 지났을 경우에 정부지원에서 제외하고 있으나, 연륙 이후 10년이 경과해도 여전히 지방재정과 개발수준이 열악한 도서가 많아서 규제완화 방안이 요구된다. 또한 도서인구가	분야 상이
X	natua_yes_no_finance-7212404	0.0515	yes_no	수도권의 안정적인 발달을 위해 비정규직 고용문제를 처리하는 것이 필수적이니	Yes	(3) 금융안정협의기구 설치 한국은행 및 기획재정부, 금융위원회가 각각 금융 안정 목표와 정책수단을 분담하고 있는 상황이므로 금융 안정이라는 공동의 목표를 달성하기 위하여 각 기관이 참여하는 금융 안정협의기구를 구성하여 설치할 필요가 있다. 금융 안정협의기구는 각 기관의 금융 안정 관련 정보를 교환하고, 정책을 협의하는 기능을 수행하여야 할 것이다. 금융 	중복 질문 — 대표 1건 유지
X	natua_text_span_finance-7015592	0.0514	text_span	성능확인검사를 통과한 소화기의 경과연수가 20년 이상이면 얼마나 더 쓸 수 있어	1년씩	(2) 미등록 사적지 관리문제 현충시설은 매년 그 수가 지속적으로 증가하여 2014년말 현재 1,915개소에 이르고 있다. 그러나 2007년부터 2010년까지 4년간에 걸쳐 실시한 현충시설에 대한 실태조사에 의하면, 미등록 국내사적지가 1,666개소에 달하고 있으며, 이 중 332개소는 역사적·교육적으로 매우 중요한 시설로 조사되었다. 이 중 일부 사적지의	분야 상이
X	natua_numeric_reasoning_numeric-487ae309-b8c7-4aa3-816d-3277909e926c	0.0513	numeric_reasoning	미국 자회사 바이럴진은 23일에 전거래일보다 얼마 상승했는가?	6850원	한편 서울 아파트 전셋값 역시 전주보다 0.01% 오르면서 지난해 12월 이후 29주만에 상승 전환됐다. 성북(0.17%), 송파(0.07%), 관악(0.03%), 용산(0.03%) 등이 올랐고 강동(0.15%), 도봉(0.04%), 서대문(0.30%) 등은 하락했다.	분야 상이
X	natua_text_span_finance-7450832	0.0513	text_span	어떤 국가의 입법규정을 벤치마킹해서 스마트그리드를 정의하고 관련 사업을 구체화하려고 했어	미국	(2) 국외 현충시설 관리현황 국외에 산재해 있는 독립운동 관련시설 및 한국전 참전시설에 대한 관리는 해당국가의 지방정부나 민간단체 등이 주관하며 우리의 국가보훈처 및 유관단체 등과의 협조를 통해 보존·관리하고 있다. 특히 중국, 러시아 등 광범위한 지역에 유적이 산재해 있는 국가의 경우에는 현지 유관기관 및 대학 등과 협약을 체결해서 위탁관리하고 있다. 	분야 상이
X	natua_yes_no_finance-6794134	0.0513	yes_no	말레이시아 중앙은행법에는 말레이시아 중앙은행이 관리하는 업무가 기록되어 있니	Yes	(2) 대규모 PHCB사업자 면허 의무화 등 면허 체계 개편 □ 차량과 사업 종류에 따른 기존의 면허 체계를 제공하는 서비스에 따른 새로운 면허 체계로 개편하고, 기존에는 관련 면허 제도가 없어 면허 취득 의무가 없었던 PHCB사업자 중 플랫폼에 등록된 차량이 800대 이상인 대규모 PHCB사업자에게도 해당 영업면허 취득을 의무화함 ○ 기존에는 택시운영사업	분야 상이
X	natua_numeric_reasoning_numeric-db6ff86b-9e19-4eb4-aead-9e1cc48f7fee	0.051	numeric_reasoning	마켓컬리의 상반기 결제추정금액 대비 6월 총 결제추정금액이 차지하는 비중은 몇 %인가?	13일 와이즈앱·와이즈리테일에 따르면 올해 상반기 마켓컬리의 결제추정금액은 6,848억 원으로 조사됐다. 지	올해 상반기에도 증권맨들이 수십억원대 성과급을 챙겨갔다. 과장급이 18억원에 가까운 성과급을 받기도 했고 40억원 넘게 받아간 이사급도 있다. 17일 주요 26개 증권사가 공시한 반기(1~6월) 보고서에 따르면 10억원 이상의 보수지급금액을 챙겨간 증권사 임직원은 총 68명으로 집계됐다. 보수지급액 5억원 이상 가운데 상위 5명의 개인별 보수현황만 따진 만	분야 상이
X	natua_numeric_reasoning_numeric-4e5f1b60-bd56-4f0a-ad05-a00643da2f9f	0.0507	numeric_reasoning	30일 국방부, 환경부, 4대 온라인 중고마켓 등 민·관·군의 열린 협의회는 무엇의 불법 유통을 막기 위해 열렸는가?	군복	농림축산식품부는 농업협동조합, CJ 등 기업들과 함께 농림축산식품 일자리 박람회를 열기로 했다고 22일 밝혔다. 다음 달 1~15일 온라인 개최하는 박람회는 올해로 4년째다. 청년에게 다양한 일자리 정보를 제공하기 위해 기획됐다. 지난해의 경우 126개 기업이 참여해 7233건의 구직자 채용상담을 시행했다. 올해 박람회엔 농촌진흥청, 한국농수산식품유통공사(	분야 상이
X	natua_yes_no_finance-7688692	0.0502	yes_no	다양한 금융안정과 연관된 기능을 실행하는 것을 명시하고 있는 것은 멕시코은행법일까	Yes	(3) 승객과 운전자의 안전 보장 조치 □ 모든 사업자(면허가 불필요한 소규모 사업자 포함)는 해당 차량 운행에 필요한 직업면허를 갖춘 운전자와 보험에 가입하고 차량 검사에 합격한 차량만을 활용하여 직접 차량을 운행하거나 예약을 중개할 수 있으며, 이를 위반하는 사업자에 대해서는 육상교통청이 운전자들에게 그 사업자를 위하여 운전하는 것을 금지할 수 있음 ○	분야 상이
X	natua_numeric_reasoning_numeric-a9cb1eea-ce11-4362-914e-c9af7c43eec7	0.0499	numeric_reasoning	현재 민영주택의 특별공급 비율 43%중 가장 적은 비율을 차지하는 것은 무엇인가?	노부모 부양	이태규 바른미래당 의원. [연합] 상상인 계열 저축은행의 주식담보대출 반대매매가 업계에서 가장 큰 비중을 차지하는 것으로 나타났다. 지난해 국정감사 때도 상상인 계열 저축은행의 고금리 주식담보대출에 대한 문제가 나왔지만, 같은 행태가 지금도 이어지고 있다는 지적도 나온다. 8일 국회 정무위원회 소속 이태규 바른미래당 의원이 금융감독원에서 받은 자료에 따르면	분야 상이
X	natua_numeric_reasoning_numeric-39174d7c-7171-4d7a-9b4e-e2e601671a4c	0.0498	numeric_reasoning	하나금융그룹은 2025까지 K-뉴딜ㆍ혁신금융의 총 공급 목표를 기존의 금액보다 얼마를 더 확대하는가?	23000000000000원	이재현 CJ그룹 회장이 지난해 그룹의 대표 기업인 CJ제일제당에서 28억여원의 보수를 받은 것으로 나타났다. CJ제일제당은 18일 사업보고서를 통해 이 회장이 지난해 26억9200만원의 급여와 1억800만원의 상여를 받았다고 공시했다. CJ제일제당은 "이사회 승인을 받은 임원 규칙에 따라 역할 책임의 크기, 회사 기여도 등을 종합적으로 고려했다"고 설명했다	분야 상이
O	natua_table_lookup_finance-6801097	0.0498	table_lookup	2005년 대비 2013년 기계산업의 증감은 몇 퍼센트야	1.2	□ 감사원의 경우 2013년 기준 총 처리건수는 321건이며, 2012년 대비 총 접수건수는 증가하였으나, 처리건수는 감소하였으며 인용률 또한 전년대비 17%p 하락한 것으로 나타남 (단위: 건, %)  [표 8] 감사원 심사청구 처리 현황 <table><tbody><tr><td colspan="2" rowspan="2">구분</td><td rowspan=	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
O	natua_table_lookup_finance-6801401	0.0497	table_lookup	2013년에 중전기기는 2005년 대비 얼마의 비율로 증감했어	8.8	□ 고충민원 처리건수는 2010년 이후 지속적으로 감소하여 2013년 현재 7,425건으로 이는 전년 대비 1,022건(12.1%) 줄어든 수치이며, 2010년에 비해서는 7,144건(약 49%) 감소한 것임 (단위: 건, 백만 원)  [표 9] 고충민원 처리 현황 <table><tbody><tr><td rowspan="2">구분</td><td colspa	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
X	natua_numeric_reasoning_numeric-433fc65c-f5fa-4273-947d-d011c8cb6b5f	0.0496	numeric_reasoning	14일 오전 서울 여의도 당사에서 주식공매도 감시전담기구를 설치해 불법 공매도를 엄격히 처벌하겠다고 공약한 사람은 누구인가?	국민의힘 윤석열 대선 후보	종합미디어 업체 제이콘텐트리는 주식 10주를 1주로 합치는 액면병합을 진행한다고 9일 공시했다. 적정 주식수 유지를 통한 기업가치 제고와 주가 안정을 위해서다. 주당 액면가는 기존 500원에서 5000원이 되고 발행주식수는 1억4406만8982주에서 1440만6898주로 10분의 1 규모로 줄어든다. 주식 병합으로 인한 거래정지 기간은 오는 7월18일에서 	분야 상이
X	natua_yes_no_finance-7021843	0.0496	yes_no	근로복지공단이 피보험자격 관리 업무를 담당하도록 고용보험법 시행령이 수정되는 거지	Yes	(3) 태국은행법은 금융제도의 안정과 지급시스템 안정을 통화안정과 함께 태국은행의 목적으로 명시하고, 지급시스템의 설치 및 설치의 지원, 금융기관 감독 및 검사, 환율 및 외환준비금 관리 등의 업무를 수행할 수 있음을 규정하고 있다. 태국은행법 제7조 : 태국은행의 목적은 통화안정, 금융제도의 안정 및 지급시스템 안정을 위하여 중앙은행업에 관련 된 업무를 	분야 상이
X	natua_text_span_finance-7450852	0.0495	text_span	어느 기관에서 열효율의 통상적 의미로 발전단 열효율을 사용하고 있어	한국전력공사	(2) 영화 VOD 시장 성장의 의미 VOD 등 영화 부가시장의 성장은 제작·배급·상영 등 영화산업 가치사슬의 각 단계에 상당한 파급효과를 가져올 것으로 기대된다. 먼저, 부가시장의 수익은 영화 선진국에 비해 낮은 제작비로 고품질의 영화를 제작하고 있는 국내 영화제작업의 실정을 감안하면, 우수 제작인력의 이탈을 방지하고 흑자 기조를 유지하면서 집행할 수 있	분야 상이
X	natua_yes_no_finance-7420347	0.0495	yes_no	공제조합과 신용조합의 인허가와 건전성에 대한 감독은 금융 감독당국이 맡고 있지	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이
X	natua_numeric_reasoning_numeric-c15ab086-7669-45a6-94df-18c9cae806a5	0.0493	numeric_reasoning	28일에 인천시가 밝힌 인천항과 경인항의 경쟁력 강화를 위해 시행하는 사업은 무엇인가?	항만 활성화 인센티브 지원사업	정부 관계자는 "데이터댐(5만여명), 공공데이터 청년 인턴(1.5만명), 디지털 배움터(8천여명) 등 뉴딜 주요 사업에 약 9만여명 이상의 인력이 참여해 고용위기 완화에 기여했다"고 평가했다. 디지털 뉴딜 추진으로 우리나라의 세계 디지털 경쟁력 지수(IMD)는 10위에서 8위, 정부 인공지능 준비지수는 26위에서 7위로 상승했다고 밝혔다. 디지털 SOC확충	분야 상이
X	natua_text_span_finance-6380319	0.0493	text_span	어느 행정부처에서 일반인들이 찾을 수 있게 현충시설을 조성해서 운영하고 있어	국가보훈처	2. 열효율·손실률을 개선할 수 있는 단위 사업의 부재 □ 전력시스템의 ‘이용효율’에 가장 근사한 정의 ○ 열효율 및 송배전 손실율이 전력시스템의 ‘이용효율’에 가장 근사한 개념일 것임 □ 열효율의 정의와 현황 ○ 열효율이란 연료가 가지고 있는 화학에너지(발열량)를 발전에 어느 정도 유효하게 이용하였는가를 백분율로 나타낸 것을 말함 - 열효율이 높을수록 연	분야 상이
X	natua_table_lookup_finance-7711700	0.0493	table_lookup	감소추세를 보이고 있는 국세청 심사청구 처리건수의 합계는 2013년 기준으로 얼마야	757	우리나라는 모든 가공단계에서 세계시장 점유율이 상대적으로 하락하고 반제품을 제외하면 부품, 자본재 및 소비재에서 중국 대비 비교우위가 약화된 것으로 분석되었다. 특히 소비재의 경우 우리나라의 세계시장 점유율은 중국의 1/10, 자본재의 경우는 1/8에 불과하다(2013년 기준). 2005~13년중 현시비교우위지수의 변화를 보면, 반제품은 우리나라의 대중국 	분야 상이
O	natua_yes_no_finance-6794135	0.0493	yes_no	태국은행이 통화안정을 목표로 해야 한다는 내용이 태국은행법에 명시되어 있어	Yes	노인장기요양보험법 시행령 일부개정령(안) 입법예고 1. 개정사유 특별현금급여가 다른 금원과 섞이면서 해당 통장이 압류되는 경우 특별현금급여와 이를 받을 권리가 침해되는 것을 방지해 노인과 그 가족의 생활안정을 도모하려는 것을 목표로 「노인장기요양보험법」이 개정됨(법률 제14321호, 2016.12.2. 개정)에 따라 특별현금급여계좌 신청 방법·절차 및 관리	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
X	natua_text_span_finance-6495419	0.049	text_span	국채 통안증권 RP금리가 무위험지표금리로 선택되면서 해당 금리에 대한 산출 작업을 맡게 된 건 어디야	한국예탁결제원	온천법 일부개정법률(안) 입법예고 1. 개정이유 가. 출입검사의 목적으로 온천자원 보호, 온천의 적정관리 및 효과적인 이용을 명시 나. 온천법의 공동급수 및 과태료에 대해서 일몰해제 적용 다. 온천법이 인용하고 있는 법률의 제명과 인용하고 있는 용어가 해당 법률의 개정에 따라 변경된 인용 법률 제명을 반영 2. 주요내용 가. 출입검사의 목적으로 온천자원 보	분야 상이
X	natua_numeric_reasoning_numeric-add2047a-04c0-4acf-9875-4032976e46a5	0.0489	numeric_reasoning	HDPE(고밀도폴리에틸렌)의 지난 2일 기준 톤당 가격은 PP(폴리프로필렌)보다 얼마나 낮은가?	90달러($)	KT는 지난해 연결기준 영업이익이 1조6718억2432만원으로 전년대비 41.2% 증가했다고 9일 공시했다. 같은 기간 매출액은 24조8980억513만원으로 4.1% 늘어난 것으로 나타났다. 당기순이익은 1조4593억9519만원으로 107.5% 증가한 것으로 집계됐다.	분야 상이
X	natua_text_span_finance-6482581	0.0489	text_span	금융위원회는 초등학생에게 저축의 중요성을 알리기 위해 어떻게 할 예정이야	교육부 및 9개 금융협회와 함께 초등학교 학생들을 대상으로 그림 공모전을9월7일부터 개최	4. 개선방안 (1) 현충시설의 중앙관리기능 강화 현재 현충시설의 관리는 국가보훈처 나라사랑정책과에서 담당하고 있으며, 현충시설심의 위원회의 구성 및 개최, 시설의 건립과 개·보수지원, 현충시설 활성화 계획수립 등 현충시설의 정책총괄업무를 담당하고 있다. 또한 25개 지방보훈관서를 통해 현충시설의 관리 및 활성화 지원업무 등도 수행하고 있다. 이러한 업무의	분야 상이
X	natua_text_span_finance-6998632	0.0488	text_span	예금보험공사가 착오송금 관련 채권을 매입해 피해자를 구제하는 개정 법안을 발의하려는 건 누구야	민병두 의원	성폭력방지 및 피해자보호 등에 관한 법률 시행규칙 일부개정령(안) 입법예고 1. 개정취지 불법촬영물 삭제 지원의 신청자를 피해자 외에 배우자, 직계친족, 형제자매로 확대하는 한편, 삭제지원 대상을 촬영물 외에 복제물(복제물의 복제물을 포함)을 추가하는 내용으로「성폭력방지 및 피해자보호 등에 관한 법률」이 개정(법률 제16896호, 2020. 1. 29 공포	분야 상이
X	natua_text_span_finance-7815158	0.0488	text_span	어떤 식으로 은행의 투자를 평가했어	은행 관련기관의 자산, 수익, 경영 평가를 통해	Ⅲ. 향후 계획 □ 금융위와 산업부는 투자용 기술평가 모형을 기술신용평가기관(TCB)와 기술평가기관 등에 배포하고 ㅇ 동 평가모형의 활용도를 높이기 위해 다양한 지원정책을 실시할 계획 ① 은행권 기술금융 실적 평가(TECH평가) 중 “기술기반 투자” 평가시 투자용 기술평가 모형을 활용한 투자를 실적으로 집계 ② 성장사다리 펀드 내 약 5,000억원 규모의 	지문 TECH평가가 의역답 성립 위험
X	natua_yes_no_finance-6390537	0.0488	yes_no	학부모는 포함하지 않고 당일 심사위원을 결정하는 건 교장공모제에 관해서지	No	□ 한국은행은 지난 3월 30일부터 약 한달간 일반 국민들과 소통의 폭을 넓혀 나가기 위하여 처음으로 ｢한국은행 스토리텔링｣을 공모하였음     ㅇ 공모내용은 한국은행과 관련한 미담이나 체험담을 600자 내외로 엮은 스토리임 □ 공모 결과 전국 각지에서 총 196명이 응모하였으며, 1차 심사에서 100편의 후보작을 뽑은 후 외부 심사위원이 포함된 2차 심사	분야 상이
X	natua_yes_no_finance-7212437	0.0487	yes_no	고용률 70퍼센트 로드맵을 통해 정부가 이끌고자 하는 것은 여성의 경제활동일까	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이
X	natua_yes_no_finance-6794184	0.0485	yes_no	금융 감독당국은 금융불안의 징조를 파악하기 위해 금융부분의 동향을 감시해야 하는 곳이니	Yes	□ 소규모 사업자 외에 면허를 받아야 하는 사업자는 육상교통청에 통행 및 운전자 관련 자료를 제출하여 야 하며, 육상교통청은 위반행위나 안전사고에 관한 사업자의 보고 의무와 조치 방안 등을 포함한 사업자 준수규범을 마련할 수 있음 □ 육상교통청은 결함이 있거나 위험성이 있는 자동차 모델의 사용을 금지하는 등 필요한 경우 모든 사업자(면허가 불필요한 소규모 	분야 상이
X	natua_yes_no_finance-6794130	0.0485	yes_no	제3유형은 금융안정화를 추진하려는 나머지 기관과 단합하는 형태로 규칙이 정해져있니	Yes	직종별로 본 수도권-비수도권간 임금차이는 주로 고임금 직종인 관리자, 전문직, 사무직에서 나타났으며, 나머지 다른 직종에서는 수도권과 비수도권간에 큰 차이가 나타나지 않았다. 〈표 3-11〉은 직종별 임금수준을 고용형태별로 세분화한 것으로, 정규직-비정규직간 임금차이가 큰 직종은 관리자, 전문직 등의 고임금 화이트칼라(white-collar) 직종에서 나타	분야 상이
O	natua_table_lookup_finance-6801281	0.0484	table_lookup	자본재는 2005년 대비 2013년에 세계시장점유율이 얼마의 비율로 증감했어	-0.2	□ 고충민원 처리건수는 2010년 이후 지속적으로 감소하여 2013년 현재 7,425건으로 이는 전년 대비 1,022건(12.1%) 줄어든 수치이며, 2010년에 비해서는 7,144건(약 49%) 감소한 것임 (단위: 건, 백만 원)  [표 9] 고충민원 처리 현황 <table><tbody><tr><td rowspan="2">구분</td><td colspa	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
O	natua_numeric_reasoning_numeric-2bcf984e-7ec0-4770-bcc2-8f9dc3ddfad2	0.0483	numeric_reasoning	3차 추경 예산안의 주거 분야 청년 예산 중 역세권 전세임대에 추가 투입하는 예산 대비 다가구매입임대에 추가 투입하는 예산은 몇 %인가?	40%	같은 달 HDC현대산업개발은 서울 강남구 역삼동 712-3번지 일원에서 개나리 4차 재건축사업으로 '아이파크'를 선보인다. '아이파크'는 전용 52~153㎡, 총 499가구 규모며 이 중 138가구가 일반 분양된다. 올 하반기 현대건설과 현대산업개발은 서울 강남구 개포동 660-1번지 일원의 개포 1단지를 재건축해 공급한다. 단지는 전용 59~179㎡, 총	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
X	natua_text_span_finance-6406378	0.0482	text_span	스마트워크센터가 일과 가정을 병행하여 삶의 질을 높일 수 있으려면 어떻게 해야 해	정기근무나 수시근무 유형에 중점을 둔 거주지형 센터의 이용을 장려	2. 보고서 작성의 목적 □ 스마트그리드 사업 정의의 구체화 ○ 「지능형전력망법」에서 규정하고 있는 스마트그리드의 개념이 모호하여, 이에 대한 사업 평가 또는 사업에 대한 투자의 방향 설정에 어려움을 겪고 있음 - 우리나라와 마찬가지로 스마트그리드를 법률에서 규정하여 사업을 진행하고 있는 미국 입법례를 분석하여 스마트그리드의 정의를 보다 구체화시키고자 함 	표면어/지시어 함정
X	natua_text_span_finance-7810004	0.0481	text_span	소상공인한테 코로나에 대응하여 어떤 식으로 3.5조원의 대출자금을 제공할 수 있어	시중은행 이차보전 지원을 통해	소나무재선충병 방제특별법 시행규칙 일부개정령(안) 입법예고 1. 개정이유 검인제도 폐지 내용의 「소나무재선충병 방제특별법」이 개정(법률 제16232호, 2019. 1. 15 공포)됨에 따라 검인 관련 내용을 삭제하고 일부 조문을 정비하고자 함 2. 주요내용 가. 소나무류 생산확인을 받으려는 경우에서 검인찍기 내용 삭제(안 제5조) - 소나무류 반출금지구역이	분야 상이
O	natua_table_lookup_finance-7711760	0.048	table_lookup	지방청에 속하는 부산지방국세청에서 2013년 기준 진행 중인 이의신청 건은 몇 건이야	51	2005~13년중 우리나라 전자산업의 주요 수출품은 대세계 경쟁력이 개선되었으나 중국에 비해서는 개선폭이 작아 대중국 경쟁력 격차가 축소된 것으로 분석된다. 우리나라의 세계시장 점유율은 컴퓨터와 컴퓨터 부품을 제외하고는 모두 상승하였으며, 무역특화지수도 컴퓨터를 제외한 대부분의 제품에서 수출특화가 강화되거나 수출특화로 전환하였다.  〈표 9〉 전자산업 주력	문서클래스 일치·전문 확인상 답 부재 (③수치검증 통과)
X	natua_text_span_finance-7450886	0.0476	text_span	에너지 부하율을 증가시키기 위해 개발해야 할 것이 뭐야	최대부하 저감 기술	5. 나가며 당초 정부는 여성인력 증가에 따른 일과 삶의 균형을 통한 생산성 제고, 긴 노동시간 대비 낮은 생산성을 해결하기 위한 근무방식 선진화 등을 위해 공공부문에서 선제적으로 스마트워크센터를 도입하고 이를 민간부문으로 확산하고자 하였다. 이와 관련하여 현재 국회에는 공공부문뿐만 아니라 민간부문에서의 스마트워크센터 활용을 촉진하기 위한 「스마트워크 촉진	분야 상이
